name,track_number,album.release_date,id,album.name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,explicit,key_name,mode_name,key_mode
Last Caress / Green Hell,5,1998-01-01,31JLlpOHfr53d0C2zufEqJ,Garage Inc.,41,0.333,0.998,0,-4.566,1,0.0543,2.79e-5,0.0318,0.0213,0.281,102.381,210,TRUE,C,major,C major
Whiplash - Remastered,6,1983-07-24,38fIaph07Kd8ZIN6l17ZJs,Kill 'Em All ,54,0.384,0.916,4,-6.468,0,0.0983,6.11e-4,0.422,0.14,0.192,158.042,249,TRUE,E,minor,E minor
"Broken, Beat & Scarred",3,2008-01-01,3BVJ1nwvdmYjXJ7gBTXTGX,Death Magnetic,49,0.321,0.974,9,-2.792,1,0.0789,5.55e-5,0.0154,0.31,0.519,121.567,385,TRUE,A,major,A major
Mama Said,11,1996-01-01,3dWNUqrgkQakv9fj5epwPK,Load,56,0.448,0.504,8,-7.749,0,0.0317,0.0171,8.49e-4,0.38,0.391,135.254,320,FALSE,G#,minor,G# minor
All Nightmare Long,5,2008-01-01,3e7wv9TChjWrnXHrk5NyBU,Death Magnetic,57,0.268,0.974,9,-2.948,1,0.114,6.7e-4,0.00106,0.0772,0.342,182.095,477,FALSE,A,major,A major
Spit Out The Bone,6,2016-11-18,3eB1b4DL6O9TMOksOYg83l,Hardwired…To Self-Destruct,52,0.154,0.987,9,-3.951,1,0.0875,9.07e-6,0.0559,0.153,0.454,168.127,429,FALSE,A,major,A major
Wasting My Hate,10,1996-01-01,3FkyxKotYLTeM2LJu1x2gU,Load,41,0.521,0.921,8,-5.73,1,0.0421,9.49e-5,0.0283,0.127,0.506,81.476,237,FALSE,G#,major,G# major
The Small Hours,2,1998-01-01,3i6UJNxQev7ZyUyiq66un7,Garage Inc.,37,0.487,0.861,7,-4.655,1,0.0388,6.2e-4,0.233,0.1,0.505,90.6,401,FALSE,G,major,G major
Devil's Dance,3,1997-01-01,3IHyDrQOASm7R0WBamMJO8,Reload,50,0.611,0.792,0,-4.836,0,0.0327,4.04e-5,0.146,0.0587,0.477,92.609,319,FALSE,C,minor,C minor
Trapped Under Ice - Remastered,5,1984-07-26,3J8jTThxk8GtxyoupHtyrb,Ride The Lightning ,47,0.252,0.988,9,-5.291,1,0.203,8.81e-5,0.0451,0.0516,0.0529,162.945,244,FALSE,A,major,A major
Moth Into Flame,4,2016-11-18,3JjZq20Kv6UphyyirAaY9A,Hardwired…To Self-Destruct,54,0.163,0.977,4,-3.585,0,0.0591,3.64e-5,0.0052,0.0555,0.369,178.44,351,FALSE,E,minor,E minor
Confusion,1,2016-11-18,3m8zeHjUKHDVHbx5JmS2qx,Hardwired…To Self-Destruct,41,0.447,0.99,4,-3.752,1,0.0639,2.94e-5,0.0344,0.125,0.35,122.288,401,FALSE,E,major,E major
"Damage, Inc.",8,1986-03-03,3n7b078PcVbHhUaYhBWIgZ,Master Of Puppets ,46,0.326,0.848,11,-10.567,0,0.167,4.67e-4,0.466,0.134,0.143,91.671,332,TRUE,B,minor,B minor
Ain't My Bitch,1,1996-01-01,3QWzxUE2WA5WoSi82KCODk,Load,46,0.426,0.903,10,-4.535,0,0.0314,2.23e-5,0.0522,0.0979,0.442,157.825,304,TRUE,A#,minor,A# minor
Cure,8,1996-01-01,3SLjisy5GM8Wx3oOz7Nfs3,Load,41,0.61,0.848,8,-5.46,1,0.0273,2.63e-5,5.76e-4,0.0526,0.792,115.262,294,FALSE,G#,major,G# major
Am I Evil?,6,1998-01-01,3T5kYazNB0f72vswYOSq4l,Garage Inc.,45,0.296,0.946,4,-5.693,1,0.105,0.00127,0.474,0.0563,0.572,78.684,470,TRUE,E,major,E major
Dyers Eve,9,1988-08-25,3V3brSzPO4pr4ioNqK61mw,…And Justice for All ,39,0.426,0.947,6,-7.253,0,0.0573,1.93e-5,0.0403,0.0772,0.698,96.983,313,TRUE,F#,minor,F# minor
Attitude,12,1997-01-01,3VNkUPHPgC34Zk7TnikPtX,Reload,37,0.458,0.974,1,-4.35,1,0.0538,1.22e-5,0.00398,0.328,0.614,155.445,317,FALSE,C#,major,C# major
My World,6,2003-01-01,3zG3x7RA9DjR7a9JMNWv1N,St. Anger,37,0.525,0.982,0,-4.447,1,0.0742,0.00198,0.00585,0.309,0.388,99.421,346,TRUE,C,major,C major
...And Justice for All,2,1988-08-25,4a47TNOfJ9vbpbmU31wpgT,…And Justice for All ,44,0.383,0.792,4,-7.34,0,0.182,7.22e-5,0.15,0.054,0.421,173.655,586,FALSE,E,minor,E minor
The Unforgiven,4,1991-08-12,4aYLAF6ckQ5ooGGGM7sWAa,Metallica,72,0.54,0.584,7,-9.579,1,0.0254,0.0108,0.00296,0.253,0.244,139.261,386,FALSE,G,major,G major
Creeping Death - Remastered,7,1984-07-26,4CLRLdxUDPNeO1xCW0U2zC,Ride The Lightning ,50,0.29,0.977,4,-5.487,1,0.169,2.49e-4,0.257,0.0801,0.166,100.919,396,FALSE,E,major,E major
Carpe Diem Baby,7,1997-01-01,4Cqn0tBcozdKfdengvZJv4,Reload,42,0.394,0.865,3,-5.338,0,0.0341,1.12e-5,0.104,0.182,0.515,142.77,372,FALSE,D#,minor,D# minor
Ride The Lightning - Remastered,2,1984-07-26,4d50VgYqfw1Rd0knRRL3qv,Ride The Lightning ,50,0.257,0.975,9,-6.128,1,0.175,6.07e-5,0.1,0.222,0.276,149.312,397,FALSE,A,major,A major
Jump In The Fire - Remastered,4,1983-07-24,4fVBFyglBhMf0erfF7pBJp,Kill 'Em All ,47,0.29,0.908,5,-5.677,0,0.106,0.00606,0.0118,0.33,0.659,178.359,281,FALSE,F,minor,F minor
Hit The Lights - Remastered,1,1983-07-24,4hh0IO5OHTigfnPTpDleL7,Kill 'Em All ,45,0.264,0.97,4,-5.526,0,0.205,4.79e-5,0.187,0.12,0.278,160.727,256,FALSE,E,minor,E minor
Some Kind Of Monster,3,2003-01-01,4hjTm9cn9ZPwfKnbyW6frn,St. Anger,45,0.333,0.938,0,-5.215,1,0.0516,4.93e-4,0.208,0.185,0.641,104.817,506,FALSE,C,major,C major
(Anesthesia) Pulling Teeth - Remastered,5,1983-07-24,4hsJQXAXPbni5QyChVzVsD,Kill 'Em All ,45,0.176,0.887,7,-7.585,1,0.0729,5.51e-4,0.822,0.619,0.15,99.206,255,FALSE,G,major,G major
The Shortest Straw,5,1988-08-25,4hvo7eCLfhs7dFr0mpk3zi,…And Justice for All ,40,0.433,0.906,9,-7.959,1,0.113,8.83e-5,0.0437,0.154,0.596,142.126,395,FALSE,A,major,A major
